id,created_at,text,favorites,retweets
1321702290517086213,2020-10-29 06:35:56,@boysputa https://t.co/kb7N5YGQxy,4,0
1321011766227312640,2020-10-27 08:52:02,RT @zed_willow: @boysputa https://t.co/uTZRSAe8Bi,0,20
1320687722420424704,2020-10-26 11:24:24,@boysputa https://t.co/uTZRSAe8Bi,179,20
1320618024559325184,2020-10-26 06:47:27,@cumgays Me next 😈 https://t.co/z067pH5v6P,5,1
1320037789455556608,2020-10-24 16:21:48,"getting thim slicc 

#gay #ass #bubblebutt #sex https://t.co/KPRUPhuyeJ",8,0
1307010497334652929,2020-09-18 17:36:00,@cagedjock My butthole tastes like weed,1,0
1306166596256309254,2020-09-16 09:42:38,@orsondeane Workout buddy 🏋️‍♀️:),0,0
1303032154885156870,2020-09-07 18:07:29,"RT @men4us: FUCKED 
                 DEEP.

@ezcumdump, @zed_willow  https://t.co/MKnyDUsHqC",0,29
1296461984200896513,2020-08-20 14:59:58,RT @antoniosebert: In the streets / in the sheets 🤠 https://t.co/ZVDEYBnvvq https://t.co/ooadwwWmH9,0,1900
1293656223510925313,2020-08-12 21:10:53,RT @antoniosebert: Like a tree https://t.co/ZVDEYBnvvq https://t.co/wBm1yFHXon,0,256
1293652904281346052,2020-08-12 20:57:41,RT @dickcharleh: Splash  https://t.co/4Fmo8zOivn,0,1719
1285514678593097728,2020-07-21 09:59:17,@ThePornhubgay_ https://t.co/lZNcX2rFHK,24,6
1285294497711226880,2020-07-20 19:24:22,RT @dickcharleh: Will always love this video https://t.co/5srH5EKaJr,0,492
1284819591642972161,2020-07-19 11:57:16,@Bbbtm9 my two favourite words,0,0
1284755758412976129,2020-07-19 07:43:37,@boymadber @TimKrugerXXX @PaulVinzent @boyberlatin @GIANNIMAGGIObig @POWERTOPLIMA1 @top_poz @teninchtopx @VadimRomanovXXX @adictoanalgones @Cakesboys69 @abello7208 @CorazonSelvio @Hotafull @bubblebuttland 👅,1,0
1284495118490374144,2020-07-18 14:27:55,9 day load waiting to bust https://t.co/8eEnW0Nmbr,16,3
1282724912457830401,2020-07-13 17:13:45,😎 https://t.co/lLHpcVrCEO,15,2
1282268300895035393,2020-07-12 10:59:20,"RT @B_O_N_CHICAGO: It’s a #Pleasureuu.com production!!!! Tag Team DUO 
@yardiestyle1 &amp; @Nitenday8_  meets PleasureUU’s Sexies @FourBrixz &amp;…",0,1191
1281331501523755010,2020-07-09 20:56:50,@111_ir meeee https://t.co/StTKlJE9e8,5,0
1280608132494917637,2020-07-07 21:02:25,RT @zed_willow: https://t.co/DY5vwbeZzm,0,2
1279117862695776256,2020-07-03 18:20:37,@BestGayVids the lamp,0,0
1279117488723279874,2020-07-03 18:19:08,"RT @Str8UpGayPorn: ICYMI—What kind of videos does Kane Fox enjoy making most, and when might he make his bottoming debut? His exclusive int…",0,45
1275507450658074624,2020-06-23 19:14:08,RT @zed_willow: @SRhyheim https://t.co/HEIXj7xyEf,0,12
1275062878190501888,2020-06-22 13:47:34,@kingjoslos @KingSavage2895 👋🏾,1,0
1273662296246624256,2020-06-18 17:02:09,@thickmusclelove ACAB🐷,23,1
1273232240932196353,2020-06-17 12:33:16,RT @ezcumdump: I heard from one of my regulars @zed_willow today. He sent this vid to get me wet💦for 4 his return 2 NYC next month. Can’t w…,0,48
1272150268893855744,2020-06-14 12:53:54,@limongay1 @TimKrugerXXX 👅,0,0
1271745377608310784,2020-06-13 10:05:00,RT @ali_basco: Already have two loads in me. Not so bad for a first timer. https://t.co/goGcbXwRd1,0,541
1271321163193413632,2020-06-12 05:59:19,@boysputa 😭😈 https://t.co/AZbBQD3ij6,66,12
1268642705049075716,2020-06-04 20:36:05,@GodofArches it purple 🧙‍♂️ https://t.co/O1jpUpFEpO,144,13
1268570993045516289,2020-06-04 15:51:08,@SeanRafe Praise be,0,0
1267565759389196293,2020-06-01 21:16:41,@niggassagging https://t.co/HqWtvP6HPj,20,2
1267394144453918720,2020-06-01 09:54:45,"@jvboy240 The sexworkers (escorts,dancers,etc) most at risk rn are those who cant work bc of covid19 while also being terrorized and beaten by police. If you truly support sexworkers, you should focus less on those who arent getting OF traction  and more on those who getting shot.",1,0
1267390884204752897,2020-06-01 09:41:48,"@jvboy240 And the sex workers on the streets being bullied, shot, and terrorised by police? Are they your brothers and sisters too or nah?",1,0
1266818223867080704,2020-05-30 19:46:15,"RT @PIGBOYRUBEN: HARD AND DEEP🍆
NASTY HUNG PUP💦
https://t.co/ajegWjaPg1🔥 https://t.co/a0sSpB7hc3",0,52
1265911893669142528,2020-05-28 07:44:49,@111_ir 🙌🏾,0,0
